Date;Close;High;Low;Open;Log_Returns
12/19/2025;4365.7;4416.74;4182.88;4349.62;-0.004192130705337759
12/18/2025;4189.47;4192.83;4189.47;4191.88;-0.04120430869981836
12/17/2025;4239.32;4240.2;4239.32;4240.2;0.011828644737026698
12/16/2025;4352.95;4353.22;4352.95;4353.14;0.02645089714937416
12/15/2025;4269.35;4269.35;4268.65;4268.65;-0.019392185344123417
12/12/2025;4498.97;4635.28;4449.06;4610.77;0.052386890859522826
12/11/2025;4599.76;4600.26;4599.76;4600.26;0.022155646532574264
12/10/2025;4565.96;4565.96;4563.09;4563.09;-0.007375340554647267
12/09/2025;4634.99;4634.99;4633.49;4633.49;0.015005253851935291
12/08/2025;4507.21;4507.21;4504.42;4504.42;-0.027955704708331603
12/05/2025;4437.19;4630.29;4396.77;4513.07;-0.01565704360351627
12/04/2025;4619.49;4619.56;4619.18;4619.56;0.04026301618353615
12/03/2025;4679.62;4679.81;4679.1;4679.81;0.012932600661861658
12/02/2025;4567.57;4569.13;4567.57;4569.13;-0.02423557522865203
12/01/2025;4293.56;4293.57;4293.29;4293.29;-0.06186510917754059
11/28/2025;4546.98;4348.52;4253.85;4336.05;0.05734705068314631
11/26/2025;4564.2;4587.75;4513.92;4546.79;0.0037799759204819074
11/25/2025;4401.76;4403.34;4401.76;4402.66;-0.03623879130363099
11/24/2025;4419.62;4419.64;4418.29;4419.64;0.004049258597508187
11/21/2025;4176.1;4249.73;4082.92;4149.72;-0.05667592288926921
11/20/2025;4341.75;4343.25;4341.45;4341.45;0.03889969599130528
11/19/2025;4578.78;4578.78;4576.76;4576.76;0.053155094450888146
11/18/2025;4621.65;4621.65;4619.25;4619.25;0.00931919709448588
11/17/2025;4556.17;4556.33;4553.46;4553.46;-0.014269425868817964
11/14/2025;4709.2;4955.46;4678.67;4757.08;0.03303568390026184
11/13/2025;4909.66;4909.66;4905.48;4905.48;0.041686650751034275
11/12/2025;5090.18;5091.46;5090.18;5091.46;0.03610850042198059
11/11/2025;5140.2;5140.82;5139.47;5139.47;0.009778795820996663
