Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
17/07/2025;877.185.287.475.586;8.833.569.917.215.280;8.730.043.649.213.990;875.194.353.891.128;8903900;0.0034103045966895115;781.037.008.115.387
18/07/2025;85.876.953.125;88.654.242.880.009;8.568.782.392.365.510;8.786.784.118.496.610;14199700;-0.021217657167819082;12.194.269.712.890.600
21/07/2025;8.547.877.502.441.400;8.714.116.460.411.090;8.526.973.270.552.710;8.608.599.644.364.320;9134900;-0.00464739430130744;78.084.006.197.052
22/07/2025;863.348.617.553.711;864.443.536.086.794;8.511.046.228.956.590;8.528.964.251.396.100;8446500;0.00996537680863391;729.227.409.816.742
23/07/2025;8.781.806.945.800.780;8.830.583.488.352.770;8.644.435.189.992.210;87.220.804.586.709;12211700;0.017033805344763776;1.072.407.918.800.350
24/07/2025;8.709.138.488.769.530;8.815.650.955.939.490;8.686.243.704.315.630;8.786.782.991.636.530;10815700;-0.00830931357219958;9.419.542.915.298.460
25/07/2025;8.721.084.594.726.560;874.696.635.033.755;8.633.485.799.649.290;8.717.102.727.750.750;9111500;0.0013707349321096718;7.946.216.228.485.100
28/07/2025;8.617.558.288.574.210;8.777.824.826.095.920;8.567.786.090.821.220;8.729.048.284.947.760;12818500;-0.011941826952225565;11.046.417.092.208.800
29/07/2025;8.544.890.594.482.420;8.642.444.436.799.240;8.505.073.443.623.440;8.625.522.071.737.830;11511500;-0.008468270332067892;983.645.080.783.844
30/07/2025;8.584.707.641.601.560;8.740.992.297.345.180;8.531.949.238.501.220;8.649.411.644.436.530;11644000;0.004648926178250655;9.996.033.577.880.850
31/07/2025;8.526.973.724.365.230;870.714.884.651.645;849.412.388.987.894;857.077.274.421.679;11802100;-0.006747920917279193;10.063.619.659.233.000
1/08/2025;8.553.849.792.480.460;8.564.799.736.559.210;8.400.551.334.841.450;8.444.351.111.156.440;9334100;0.0031469314425733226;7.984.248.934.799.190
4/08/2025;8.642.444.610.595.700;865.638.076.556.929;845.828.762.604.746;8.551.859.603.267.380;7662100;0.010304034102100134;6.621.927.485.084.530
5/08/2025;8.645.430.755.615.230;870.217.103.171.084;8.526.973.439.235.950;8.613.576.578.850.390;8943700;0.0003454611958928583;7.732.213.904.899.590
6/08/2025;8.573.758.697.509.760;8.598.644.796.926.100;84.592.832.477.654;8.578.736.221.178.420;11585000;-0.00832472076714943;9.932.699.451.065.060
7/08/2025;849.312.744.140.625;8.549.867.714.109.250;8.413.491.624.523.970;8.533.941.006.410.860;9802700;-0.009448924116259432;8.325.558.036.987.300
8/08/2025;8.504.077.911.376.950;8.556.836.320.553.760;8.465.255.657.097.280;8.503.082.254.751.870;6667100;0.0012885025812720162;5.669.753.784.294.120
11/08/2025;8.477.201.080.322.260;8.557.831.797.601.390;8.442.359.934.347.040;8.462.269.269.113.370;6216000;-0.0031654686917758617;52.694.281.915.283.200
12/08/2025;8.652.398.681.640.620;8.664.344.282.517.200;8.498.105.324.167.950;8.509.055.268.438.950;9684500;0.020456252699139102;8.379.415.503.234.860
13/08/2025;8.911.213.684.082.030;8.939.086.751.936.470;8.687.238.800.915.660;8.708.143.791.672.350;14986100;0.029473861414538876;13.354.433.939.102.100
14/08/2025;8.916.191.101.074.210;8.949.040.932.484.430;8.806.692.422.503.600;8.808.682.976.166.290;11579800;0.0005584006400827197;10.324.770.971.221.900
15/08/2025;9.026.686.096.191.400;9.032.658.517.079.590;8.909.223.675.454.910;8.936.100.328.915.250;10672400;0.012316463039468609;9.633.640.469.299.310
