Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume;Bid_Ask_Spread;Capitalizacion_Mercado
13/03/2023;24.197.533.203.125;24.550.837.890.625;2.191.819.921.875;2.215.640.625;49466362688;0.08778363436848541;1196963953580703.5;2.632.638.671.875;1196963953580703.5
14/03/2023;2.474.607.421.875;26.514.716.796.875;2.408.118.359.375;24.201.765.625;54622230164;0.02241616479750579;1351685761631989.0;2.433.533.203.125;1351685761631989.0
15/03/2023;243.759.609.375;25.240.615.234.375;2.396.491.015.625;2.477.092.578.125;43655701450;-0.015069419825617957;1064149673244362.1;1.275.705.078.125;1064149673244362.1
16/03/2023;250.527.890.625;25.190.326.171.875;24.225.111.328.125;2.437.345.703.125;33866061747;0.027387721969650478;848439301325191.2;96.521.484.375;848439301325191.2
17/03/2023;274.239.296.875;277.878.125;24.955.169.921.875;25.055.123.046.875;50730261335;0.09043081735478727;1391223119879540.0;2.832.642.578.125;1391223119879540.0
18/03/2023;2.696.587.890.625;27.725.953.125;2.663.626.171.875;274.481.171.875;35723036817;-0.016843655914946763;963303084970732.5;108.969.140.625;963303084970732.5
19/03/2023;2.803.867.578.125;28.440.560.546.875;26.907.716.796.875;2.696.950.390.625;37769448859;0.03901251239696352;1059005330994003.8;153.284.375;1059005330994003.8
20/03/2023;27.767.236.328.125;28.527.724.609.375;27.242.880.859.375;280.416.015.625;44774027664;-0.009728058677075274;1243251007508294.5;128.484.375;1243251007508294.5
21/03/2023;2.817.581.640.625;284.395.625;27.439.646.484.375;27.768.392.578.125;36102192830;0.014607259457310753;1017208757041115.1;999.916.015.625;1017208757041115.1
22/03/2023;273.074.375;288.033.359.375;2.675.999.609.375;28.158.720.703.125;33382021890;-0.031304934786025286;911577476384806.9;204.333.984.375;911577476384806.9
23/03/2023;2.833.397.265.625;2.872.984.375;2.718.336.328.125;2.730.195.703.125;24220433689;0.03690243092144147;686261105866642.4;154.648.046.875;686261105866642.4
24/03/2023;2.749.328.515.625;283.884.375;27.039.265.625;28.324.111.328.125;25980310960;-0.03011973318555565;714284097671327.2;1.349.171.875;714284097671327.2
