Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
31/10/2023;3.694.340.087.890.620;369.689.990.234.375;3.631.639.892.578.120;36.418.701.171.875;374300;0.00447085197987011;1.382.791.494.897.460
1/11/2023;375.360.009.765.625;3.757.820.068.359.370;3.691.909.912.109.370;370.168.994.140.625;318200;0.01591346301376481;11.943.955.510.742.100
2/11/2023;37.985.400.390.625;3.805.889.892.578.120;3.750.389.892.578.120;3.755.090.087.890.620;369100;0.011901387168095728;14.020.411.284.179.600
3/11/2023;3.881.590.087.890.620;39.007.099.609.375;3.847.139.892.578.120;384.743.994.140.625;429100;0.021628093488200106;16.655.903.067.138.600
6/11/2023;3.861.239.990.234.370;3.909.199.951.171.870;3.855.159.912.109.370;3.904.830.078.125;344000;-0.005256513266745016;1.328.266.556.640.620
7/11/2023;3.880.449.951.171.870;388.489.990.234.375;3.836.409.912.109.370;3.859.419.921.875;380700;0.004962740825167356;14.772.872.964.111.300
8/11/2023;3818.25;38.687.099.609.375;379.843.994.140.625;38.687.099.609.375;363500;-0.016158911240009906;1387933875.0
9/11/2023;370.281.005.859.375;3.823.929.931.640.620;369.835.009.765.625;38.238.798.828.125;439300;-0.030700195778054083;16.266.444.587.402.300
10/11/2023;371.489.990.234.375;3.719.469.970.703.120;3.653.360.107.421.870;37.082.099.609.375;359500;0.0032597269289415987;13.355.065.148.925.700
13/11/2023;3.716.179.931.640.620;3.717.010.009.765.620;3.661.110.107.421.870;369.289.990.234.375;393700;0.00034450694599760665;1.463.060.039.086.910
14/11/2023;3.791.360.107.421.870;3.811.010.009.765.620;3.778.219.970.703.120;378.835.009.765.625;456800;0.020028581545164882;17.318.932.970.703.100
15/11/2023;3784.0;3.831.840.087.890.620;37.831.201.171.875;3784.25;454300;-0.0019431709208361278;1719071200.0
16/11/2023;3.748.889.892.578.120;37.967.900.390.625;3.738.360.107.421.870;3.795.639.892.578.120;341900;-0.009321883678274552;1.281.745.454.272.460
17/11/2023;3.792.330.078.125;379.543.994.140.625;375.514.990.234.375;37.734.599.609.375;427200;0.011520859012181896;1.620.083.409.375
20/11/2023;381.718.994.140.625;3.831.330.078.125;3.783.320.068.359.370;3.783.469.970.703.120;384700;0.0065339079627596474;14.684.729.704.589.800
21/11/2023;377.610.009.765.625;38.083.798.828.125;3.775.909.912.109.370;3.806.830.078.125;279800;-0.010822777641197925;10.565.528.073.242.100
22/11/2023;3.798.820.068.359.370;3.815.949.951.171.870;3.776.949.951.171.870;3.803.330.078.125;244000;0.005998753343066798;9.269.120.966.796.870
24/11/2023;381.960.009.765.625;38.347.099.609.375;3807.5;3.808.360.107.421.870;143000;0.0054552204728827575;5.462.028.139.648.430
27/11/2023;3.797.169.921.875;3.810.030.029.296.870;3.777.929.931.640.620;3.810.030.029.296.870;269100;-0.005889698799593243;10.218.184.259.765.600
28/11/2023;3.782.510.009.765.620;378.589.990.234.375;3.762.489.990.234.370;3.782.360.107.421.870;284900;-0.003868218848662947;10.776.371.017.822.200
29/11/2023;3.817.409.912.109.370;3.843.340.087.890.620;3.795.580.078.125;3.795.580.078.125;314400;0.009184346157811921;12.001.936.763.671.800
30/11/2023;3.874.070.068.359.370;3.902.969.970.703.120;3.852.550.048.828.120;385.672.998.046.875;465200;0.014733492475458897;18.022.173.958.007.800
1/12/2023;3.927.580.078.125;3.928.169.921.875;384.793.994.140.625;3.869.800.048.828.120;465000;0.013717828377105673;1.826.324.736.328.120
4/12/2023;3.962.780.029.296.870;39.669.599.609.375;3.909.340.087.890.620;391.427.001.953.125;402500;0.008922326537332438;15.950.189.617.919.900
5/12/2023;395.352.001.953.125;3.962.179.931.640.620;392.585.009.765.625;393.656.005.859.375;352900;-0.0023394802955860805;13.951.972.148.925.700
6/12/2023;3.977.719.970.703.120;4.007.989.990.234.370;3.953.659.912.109.370;3.974.300.048.828.120;396800;0.0061024571951191165;1.578.359.284.375
7/12/2023;4.002.739.990.234.370;400.781.005.859.375;3.957.090.087.890.620;3.984.239.990.234.370;391000;0.006270340714703905;15.650.713.361.816.400
8/12/2023;3.974.489.990.234.370;401.177.001.953.125;3.968.179.931.640.620;3.990.800.048.828.120;399300;-0.007082688643704889;1.587.013.853.100.580
11/12/2023;39.997.900.390.625;4.001.110.107.421.870;396.222.998.046.875;399.064.990.234.375;432100;0.006345433976819756;17.283.092.758.789.000
12/12/2023;4.051.419.921.875;40.598.798.828.125;39.869.599.609.375;4.022.929.931.640.620;533300;0.012825548159304576;21.606.222.443.359.300
13/12/2023;4214.75;421.558.984.375;4.079.050.048.828.120;4.082.449.951.171.870;681400;0.03952286004661393;2871930650.0
14/12/2023;424.131.982.421.875;426.739.990.234.375;421.681.005.859.375;42.498.798.828.125;729100;0.006284222389619034;30.923.462.838.378.900
15/12/2023;421.477.001.953.125;427.047.021.484.375;419.406.005.859.375;42.519.599.609.375;874700;-0.006279472526945058;36.866.593.360.839.800
18/12/2023;418.333.984.375;421.489.990.234.375;4.170.240.234.375;4.212.169.921.875;616500;-0.007485094393074817;2.579.029.013.671.870
19/12/2023;424.635.009.765.625;424.747.998.046.875;41.979.599.609.375;419.972.021.484.375;489200;0.014949880221019885;20.773.144.677.734.300
20/12/2023;412.306.982.421.875;421.852.978.515.625;41.212.001.953.125;421.272.021.484.375;557400;-0.029461824528644796;22.981.991.200.195.300
21/12/2023;418.972.998.046.875;41.912.900.390.625;415.908.984.375;4.167.740.234.375;404400;0.016038299179500146;16.943.268.041.015.600
22/12/2023;4.291.740.234.375;431.143.994.140.625;424.114.990.234.375;42.415.400.390.625;416100;0.02405601166981154;17.857.931.115.234.300
26/12/2023;434.202.978.515.625;435.156.982.421.875;4.300.740.234.375;431.581.005.859.375;255500;0.011649631485552831;11.093.886.101.074.200
27/12/2023;4.407.490.234.375;44.082.998.046.875;43.592.900.390.625;437.383.984.375;353900;0.01496348839332757;15.598.107.939.453.100
28/12/2023;440.758.984.375;44.383.701.171.875;439.147.021.484.375;441.341.015.625;306100;2,26E+11;1.349.163.251.171.870
29/12/2023;4.370.580.078.125;4.402.419.921.875;436.677.001.953.125;440.189.990.234.375;270600;-0.008432278082381036;1.182.678.969.140.620
2/01/2024;445.702.001.953.125;448.331.982.421.875;433.910.986.328.125;434.018.017.578.125;364000;0.01958464437189878;1.622.355.287.109.370
3/01/2024;44.092.900.390.625;44.482.900.390.625;4397.25;444.752.001.953.125;350000;-0.010766698035856193;1.543.251.513.671.870
4/01/2024;4437.5;445.631.982.421.875;441.143.017.578.125;44.212.998.046.875;329300;0.006377467177596036;1461268750.0
5/01/2024;442.639.990.234.375;4.445.759.765.625;437.831.982.421.875;440.131.005.859.375;346700;-0.002504564262000439;15.346.328.461.425.700
8/01/2024;453.164.013.671.875;4.531.919.921.875;43.786.201.171.875;439.214.013.671.875;461500;0.02349734451292707;20.913.519.230.957.000
9/01/2024;45.277.099.609.375;4.537.419.921.875;44.912.998.046.875;449.764.013.671.875;414200;-0.0008676507664331813;18.753.774.658.203.100
10/01/2024;450.214.013.671.875;45.257.001.953.125;44.692.099.609.375;4508.0;454400;-0.005663414627402044;2.045.772.478.125
