Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
17/04/2024;50.222.099.609.375;50.779.599.609.375;5007.25;506.897.021.484.375;3596130000;-0.005797375076004185;18060519906826.17
18/04/2024;50.111.201.171.875;505.666.015.625;500.189.013.671.875;503.152.001.953.125;3619760000;-0.0022106017004853043;18.139.052.155.390.600
19/04/2024;496.722.998.046.875;501.902.001.953.125;495.356.005.859.375;500.543.994.140.625;3878750000;-0.008797129654056974;19.266.643.286.743.100
22/04/2024;501.060.009.765.625;503.883.984.375;496.939.990.234.375;4.987.330.078.125;3820250000;0.00869335115683908;19141745023071.29
23/04/2024;50.705.498.046.875;50.761.201.171.875;50.279.599.609.375;502.885.009.765.625;3751400000;0.01189356656772209;19.021.660.537.304.600
24/04/2024;50.716.298.828.125;508.947.998.046.875;504.702.001.953.125;508.485.986.328.125;3656740000;0.00021298737793290078;18545631857675.78
25/04/2024;5.048.419.921.875;5057.75;4.990.580.078.125;50.198.798.828.125;3958050000;-0.0045869342701194095;19.981.898.471.777.300
26/04/2024;50.999.599.609.375;51.146.201.171.875;507.314.013.671.875;508.464.990.234.375;3604140000;0.010157381332325343;18380969693613.28
29/04/2024;5.116.169.921.875;5.123.490.234.375;508.864.990.234.375;51.141.298.828.125;3447450000;0.0031734080766393944;17637739997167.97
30/04/2024;503.568.994.140.625;5.110.830.078.125;503.531.005.859.375;510.377.978.515.625;4082470000;-0.015855551118928123;20.558.053.115.092.700
1/05/2024;501.839.013.671.875;50.961.201.171.875;50.134.501.953.125;502.902.978.515.625;4544170000;-0.0034413534856316866;22.804.417.907.573.200
2/05/2024;50.642.001.953.125;50.732.099.609.375;50.110.498.046.875;504.931.982.421.875;4381660000;0.009087024725084856;22189603427792.97
3/05/2024;51.277.900.390.625;51.391.201.171.875;510.122.021.484.375;512.277.978.515.625;3924990000;0.012478557659508005;20126524625419.92
6/05/2024;5.180.740.234.375;5181.0;5.142.419.921.875;5.142.419.921.875;3683250000;0.010273173691247842;19081961468261.72
7/05/2024;51.877.001.953.125;520.022.998.046.875;51.789.599.609.375;51.872.001.953.125;3987890000;0.0013425282288256131;20.687.977.731.884.700
8/05/2024;5.187.669.921.875;51.919.501.953.125;516.585.986.328.125;516.897.998.046.875;3842100000;-5,84E+09;19.931.546.606.835.900
9/05/2024;5.214.080.078.125;52.152.998.046.875;518.041.015.625;518.902.978.515.625;3727370000;0.005078032639106711;19434805660800.78
10/05/2024;522.268.017.578.125;523.966.015.625;520.968.017.578.125;5.225.490.234.375;3617900000;0.001648040080166728;18.895.134.607.958.900
13/05/2024;5.221.419.921.875;5.237.259.765.625;521.116.015.625;5.233.080.078.125;4255710000;-0.00024133317386520824;22.220.848.975.722.600
14/05/2024;524.668.017.578.125;52.503.701.171.875;521.797.998.046.875;522.110.009.765.625;4763580000;0.004826148527454041;24.992.980.751.748.000
15/05/2024;530.814.990.234.375;5.311.759.765.625;5.263.259.765.625;5.263.259.765.625;4360810000;0.01164782778729962;23147833175639.65
16/05/2024;529.710.009.765.625;5.325.490.234.375;529.618.994.140.625;531.006.982.421.875;3817470000;-0.0020838374740880464;20.221.520.709.799.800
17/05/2024;530.327.001.953.125;53.054.501.953.125;528.358.984.375;530.310.009.765.625;3578120000;0.0011640956878937513;18.975.736.522.285.100
20/05/2024;53.081.298.828.125;532.531.982.421.875;530.239.990.234.375;530.535.009.765.625;3420100000;0.0009159703084911664;18154335012207.03
21/05/2024;532.141.015.625;532.431.982.421.875;52.978.701.171.875;529.868.994.140.625;3662240000;0.0024987497668926086;19488281130625.0
22/05/2024;5.307.009.765.625;532.318.017.578.125;5.286.009.765.625;531.927.978.515.625;3847130000;-0.0027097912093521476;20.416.756.479.628.900
23/05/2024;526.783.984.375;53.418.798.828.125;525.693.017.578.125;5.340.259.765.625;3869520000;-0.007408162283471933;20384011632187.5
24/05/2024;530.472.021.484.375;531.164.990.234.375;527.839.013.671.875;52.814.501.953.125;3005510000;0.0069766490766732595;15943389652915.04
28/05/2024;53.060.400.390.625;531.591.015.625;528.089.013.671.875;531.591.015.625;3751540000;0.00024877090688591537;19905821448144.53
29/05/2024;52.669.501.953.125;528.227.001.953.125;52.627.001.953.125;527.872.998.046.875;3552750000;-0.007394317215742535;18.712.157.306.396.400
30/05/2024;523.547.998.046.875;52.602.099.609.375;522.210.009.765.625;525.977.001.953.125;3818750000;-0.005992957535754186;19992989175415.04
31/05/2024;5.277.509.765.625;5.280.330.078.125;519.168.017.578.125;52.432.099.609.375;5437160000;0.007995824231928897;28.694.664.997.265.600
3/06/2024;528.339.990.234.375;530.210.986.328.125;523.431.982.421.875;529.714.990.234.375;4046920000;0.0011154602235352391;21381496732792.97
4/06/2024;529.133.984.375;52.987.998.046.875;52.576.298.828.125;5.278.240.234.375;3707900000;0.0015016810037827531;19.619.759.006.640.600
5/06/2024;535.402.978.515.625;535.416.015.625;529.764.013.671.875;531.447.998.046.875;3591460000;0.011778015849957281;19.228.783.812.197.200
6/06/2024;53.529.599.609.375;536.235.009.765.625;533.535.986.328.125;53.577.998.046.875;3609990000;-0.00019983660163685183;19.324.131.929.384.700
7/06/2024;5.346.990.234.375;5.375.080.078.125;5.331.330.078.125;534.381.005.859.375;3692760000;-0.0011158420502790662;19.745.151.657.890.600
10/06/2024;53.607.900.390.625;53.657.900.390.625;533.152.001.953.125;534.122.021.484.375;3622280000;0.002577529978240972;19.418.282.542.695.300
11/06/2024;537.531.982.421.875;53.759.501.953.125;5327.25;5353.0;3568030000;0.0027067148552095224;19.179.302.392.407.200
12/06/2024;542.102.978.515.625;5447.25;54.091.298.828.125;54.091.298.828.125;3962840000;0.008467720241887338;21.482.673.673.808.500
13/06/2024;5.433.740.234.375;544.193.017.578.125;5.402.509.765.625;544.193.017.578.125;3530380000;0.00234191143711672;19.183.167.848.632.800
14/06/2024;543.160.009.765.625;543.239.013.671.875;5403.75;5.424.080.078.125;3438650000;-0.00039393828099749413;18.677.371.675.805.600
17/06/2024;547.322.998.046.875;5488.5;542.039.990.234.375;543.110.986.328.125;3447840000;0.007635164372320518;18.870.821.255.859.300
18/06/2024;548.702.978.515.625;54.903.798.828.125;547.131.982.421.875;547.614.990.234.375;3544330000;0.0025181541815171163;19447844278422.85
20/06/2024;5.473.169.921.875;550.552.978.515.625;545.556.005.859.375;5.499.990.234.375;3847060000;-0.0025291273954115403;21.055.613.079.648.400
21/06/2024;54.646.201.171.875;547.831.005.859.375;545.202.978.515.625;546.677.001.953.125;6773800000;-0.0015633517188252497;37016243749804.69
24/06/2024;54.478.701.171.875;549.066.015.625;544.758.984.375;5.459.580.078.125;3696750000;-0.0030698791558664423;20139413855712.89
25/06/2024;54.692.998.046.875;54.728.798.828.125;544.656.005.859.375;546.072.998.046.875;3591960000;0.003925873679181344;19.645.506.126.445.300
26/06/2024;547.789.990.234.375;548.314.013.671.875;54.518.701.171.875;54.607.099.609.375;3563920000;0.0015711962247204525;19.522.797.019.960.900
27/06/2024;54.828.701.171.875;549.081.005.859.375;54.675.400.390.625;547.358.984.375;3589530000;0.0009069098567990731;19.680.926.771.748.000
28/06/2024;546.047.998.046.875;552.364.013.671.875;54.511.201.171.875;548.847.998.046.875;7199220000;-0.0040920134623695995;39.311.196.684.990.200
1/07/2024;547.508.984.375;54.795.498.046.875;544.652.978.515.625;5.471.080.078.125;3488760000;0.0026719909814295235;19101274443281.25
2/07/2024;5.509.009.765.625;550.968.994.140.625;545.843.017.578.125;546.183.984.375;3329950000;0.0061762057711850496;18344727069042.97
3/07/2024;553.702.001.953.125;553.927.001.953.125;5.507.419.921.875;550.743.994.140.625;2179470000;0.0050715622695336636;12.067.769.021.967.700
5/07/2024;556.718.994.140.625;5.570.330.078.125;55.316.298.828.125;553.791.015.625;3253080000;0.00543397436096954;18.110.514.254.589.800
8/07/2024;557.285.009.765.625;558.310.986.328.125;5.562.509.765.625;5572.75;3185670000;0.0010161824764044329;17.753.261.370.600.500
9/07/2024;557.697.998.046.875;5590.75;557.456.982.421.875;5.584.240.234.375;3232920000;0.0007407974780654752;18029930118457.03
10/07/2024;563.391.015.625;563.539.013.671.875;558.643.994.140.625;5.591.259.765.625;3336100000;0.010156314878105886;18.795.287.672.265.600
11/07/2024;55.845.400.390.625;56.424.501.953.125;557.652.978.515.625;56.352.099.609.375;4020950000;-0.008801649969266724;22455156270068.36
12/07/2024;561.535.009.765.625;565.556.005.859.375;559.043.994.140.625;5.590.759.765.625;3700280000;0.00550186402496512;20778367659355.47
15/07/2024;563.122.021.484.375;566.693.994.140.625;5614.75;563.816.015.625;3620470000;0.0028222164233526843;20387663851235.35
16/07/2024;56.672.001.953.125;5.669.669.921.875;563.902.001.953.125;564.408.984.375;4041760000;0.0063690499714532745;22905463061406.25
17/07/2024;558.827.001.953.125;5.622.490.234.375;558.481.005.859.375;561.006.982.421.875;4246450000;-0.014025441523645543;23.730.309.224.438.400
18/07/2024;554.458.984.375;56.140.498.046.875;552.281.005.859.375;560.856.005.859.375;4007510000;-0.007847112145350072;22.219.999.244.726.500
19/07/2024;5505.0;5557.5;54.970.400.390.625;55.433.701.171.875;3760570000;-0.007165879226406085;20701937850000.0
22/07/2024;556.441.015.625;557.035.986.328.125;55.290.400.390.625;55.445.400.390.625;3375180000;0.010734217246220293;18.780.885.871.171.800
23/07/2024;5.555.740.234.375;558.533.984.375;555.089.990.234.375;55.652.998.046.875;3500210000;-0.0015593176939461904;19446257525761.72
24/07/2024;54.271.298.828.125;55.080.400.390.625;541.997.998.046.875;550.583.984.375;3945550000;-0.02342124222289286;21413012309130.86
25/07/2024;539.922.021.484.375;549.158.984.375;53.909.501.953.125;54.287.001.953.125;4592120000;-0.005155889019717259;24793867132988.28
26/07/2024;545.910.009.765.625;548.831.982.421.875;54.307.001.953.125;5.433.669.921.875;3638770000;0.011029420409570924;19.864.409.662.348.600
29/07/2024;54.635.400.390.625;5.487.740.234.375;544.443.994.140.625;54.765.498.046.875;3379970000;0.0008129795718284517;18466601425830.08
30/07/2024;543.643.994.140.625;54.894.599.609.375;54.017.001.953.125;547.872.998.046.875;3777740000;-0.0049725143613676215;20.537.456.624.248.000
31/07/2024;55.222.998.046.875;5.551.509.765.625;5493.75;550.558.984.375;4546910000;0.015669980701917767;25109400204931.64
1/08/2024;544.668.017.578.125;556.616.015.625;5.410.419.921.875;553.783.984.375;4703620000;-0.013788123791990166;25.619.113.808.408.200
2/08/2024;534.656.005.859.375;538.389.013.671.875;530.202.978.515.625;53.766.298.828.125;5156450000;-0.01855290660855327;27.569.269.614.135.700
5/08/2024;5.186.330.078.125;525.089.013.671.875;5.119.259.765.625;515.114.013.671.875;5333250000;-0.0304270413923931;27.659.994.889.160.100
6/08/2024;524.002.978.515.625;531.233.984.375;519.356.005.859.375;5.206.419.921.875;4690190000;0.010300849493599515;24.576.735.298.041.900
7/08/2024;5199.5;533.064.013.671.875;51.955.400.390.625;52.931.298.828.125;4558260000;-0.007764715388769489;23700672870000.0
8/08/2024;531.931.005.859.375;532.802.978.515.625;523.385.009.765.625;525.256.982.421.875;4016830000;0.02278113959089888;21.366.764.222.661.100
9/08/2024;534.416.015.625;5.358.669.921.875;530.083.984.375;531.466.015.625;3516400000;0.004660798434381699;18792204773437.5
12/08/2024;534.439.013.671.875;53.712.001.953.125;53.243.701.171.875;53.518.798.828.125;3360160000;4,30E+09;17.958.005.961.796.800
13/08/2024;543.443.017.578.125;5436.5;537.697.998.046.875;537.697.998.046.875;3648980000;0.016707233419049988;19.830.127.022.822.200
14/08/2024;54.552.099.609.375;546.322.021.484.375;541.591.015.625;544.235.986.328.125;3380050000;0.00381643656119841;18.438.882.428.466.700
